NB.6H,NB.1D,NB.3D
Gm25868,,
Cep78,,
Gm44492,,
2700062C07Rik,,
Moxd2,,
Gm24054,,
Gm24321,,
Dyrk4,,
Gm14500,,
Gm23034,,
Eno2,,
Gm25874,,
Gm23390,,
Gm22282,,
Mir877,,
Gm22822,,
Gm24753,,
Gm24411,,
Gm24073,,
Gm22242,,
n-R5s164,,
n-R5s3,,
Mir7-2,,
Gm23305,,
Gm25408,,
Gm24654,,
Gm23351,,
Mir29b-2,,
Gm26048,,
Hmgn5,,
Gm16471,,
Gm9103,,
Gm42697,,
Gm36903,,
Vmn2r-ps83,,
Gm26265,,
Cldn34c2,,
Sp4,,
Gm9267,,
Bcorl1,,
Gm44822,,
Gm16025,,
Vmn2r-ps85,,
9430021M05Rik,,
Gm42575,,
Gm20743,,
Olfr758-ps1,,
BC021767,,
Spink14,,
Ireb2,,
Gm29513,,
Gm48048,,
4930519L02Rik,,
Cradd,,
Mmp24,,
Gm14365,,
Gm9428,,
Gm43129,,
Gm24402,,
Slc27a6,,
Sdc3,,
Gm14769,,
Gm29367,,
Gm18423,,
Gm12586,,
Gm25253,,
Gm24268,,
Astx3,,
4930447C11Rik,,
Gm18413,,
Airn,,
n-R5s182,,
Psmc6,,
Eda,,
Sult1c2-ps2,,
Gm14391,,
Gm8353,,
Hcfc1r1-ps1,,
Dennd4b,,
Gm5621,,
Traj13,,
Gm4916,,
Gm25204,,
Trpm8,,
Mir6354,,
Gm31759,,
Gm26372,,
Ptk2,,
Cyp2c67,,
Cdc14a,,
Spo11,,
Ncapd2,,
Gm12193,,
Gm25677,,
Gstm7,,
Myl4,,
Gm13518,,
3110082I17Rik,,
Gm24901,,
Cmah,,
Gm14987,,
Rpl7l1-ps1,,
Rn7s1,,
Ube2e3,,
Olfr297,,
Gm12132,,
Gm38293,,
Gm26801,,
Spaca7,,
Gm27740,,
Sh3bgr,,
Zfp367,,
Gm28502,,
Gm4819,,
Gm11619,,
Dlg2,,
Gm22531,,
Gm43005,,
Tmem184a,,
Gm12059,,
Cldn1,,
Acsl4,,
Gm28806,,
Gm49610,,
Vmn2r1,,
Gm12869,,
Slc24a4,,
Dgkk,,
Syce1l,,
Sh3glb1,,
Gm48116,,
Tuba4a,,
Gm45907,,
BB557941,,
Cd40,,
Gm5646,,
Gm38191,,
Gm28640,,
4931415C17Rik,,
Gm8278,,
Alg14,,
Zfp808,,
Gm26445,,
Ell2,,
Mapkbp1,,
Gm10247,,
Gng2,,
Gtf2e2,,
Gm43417,,
Fbln1,,
Gm22668,,
Gm48691,,
